Layer,Feature_ID,Dominant_Freq,Norm_Power,Raw_Max,Auto_Label
0,19026,0.0,0.0,0.0,Noise/Weak
0,24693,0.0,0.0,0.0,Noise/Weak
1,12037,0.0,0.0,0.0,Noise/Weak
1,15769,0.071,0.10109999775886536,0.9621,Rhythmic (Mid-Freq)
2,9960,0.071,0.12189999967813492,0.8355,Rhythmic (Mid-Freq)
2,10995,0.071,0.007400000002235174,0.1523,Noise/Weak
2,14779,0.071,0.10029999911785126,1.4754,Rhythmic (Mid-Freq)
3,4607,0.0,0.0,0.0,Noise/Weak
3,8437,0.071,0.09099999815225601,1.4602,Noise/Weak
3,11981,0.0,0.0,0.0,Noise/Weak
3,20009,0.0,0.0,0.0,Noise/Weak
4,8913,0.221,0.0071000000461936,0.3531,Induction (High-Freq)
4,11586,0.071,0.019500000402331352,1.4054,Noise/Weak
4,15313,0.0,0.0,0.0,Noise/Weak
4,16089,0.0,0.0,0.0,Noise/Weak
4,22614,0.0,0.0,0.0,Noise/Weak
4,26914,0.071,0.024299999698996544,0.8813,Noise/Weak
5,8919,0.0,0.0,0.0,Noise/Weak
5,28507,0.0,0.0,0.0,Noise/Weak
